Grid_Name,best_fire_name,best_fire_final_dist_m,best_fire_final_duration_min
마마0884,신녕119안전센터,8113,12.383333333333333
마마0885,신녕119안전센터,7388,11.85
마마0886,신녕119안전센터,7319,11.583333333333334
마마0983,신녕119안전센터,8788,13.766666666666667
마마0984,신녕119안전센터,8060,11.983333333333333
마마0985,신녕119안전센터,6965,10.75
마마0986,신녕119안전센터,6771,9.066666666666666
마마1085,신녕119안전센터,5932,9.083333333333334
마마1086,신녕119안전센터,20169,21.25
마마1087,신녕119안전센터,6670,10.4
마마1088,신녕119안전센터,8912,11.2
마마1089,신녕119안전센터,9484,12.933333333333334
마마1185,신녕119안전센터,4892,7.383333333333334
마마1186,신녕119안전센터,5416,7.8
마마1187,신녕119안전센터,6451,9.283333333333333
마마1188,신녕119안전센터,8221,10.216666666666667
마마1277,청통면119지역대,5859,11.4
마마1282,신녕119안전센터,4656,15.066666666666666
마마1284,신녕119안전센터,3574,6.316666666666666
마마1285,신녕119안전센터,3670,6.25
마마1286,신녕119안전센터,6248,11.7
마마1288,신녕119안전센터,7390,9.75
마마1290,신녕119안전센터,9861,16.183333333333334
마마1379,청통면119지역대,4704,9.25
마마1380,신녕119안전센터,6391,15.333333333333334
마마1381,신녕119안전센터,5852,13.2
마마1382,신녕119안전센터,2850,10.7
마마1384,신녕119안전센터,1993,5.15
마마1385,신녕119안전센터,6569,10.95
마마1386,신녕119안전센터,4754,6.233333333333333
마마1387,신녕119안전센터,5710,8.266666666666667
마마1390,신녕119안전센터,18648,28.833333333333332
마마1476,청통면119지역대,3345,6.7
마마1478,청통면119지역대,3321,6.633333333333334
마마1480,신녕119안전센터,5212,11.55
마마1481,신녕119안전센터,2877,10.8
마마1482,신녕119안전센터,2125,7.983333333333333
마마1483,신녕119안전센터,859,3.2333333333333334
마마1484,신녕119안전센터,10383,13.466666666666667
마마1485,신녕119안전센터,4224,6.95
마마1486,신녕119안전센터,4833,7.466666666666667
마마1488,신녕119안전센터,6683,13.133333333333333
마마1489,신녕119안전센터,17696,25.2
마마1579,청통면119지역대,3365,12.033333333333333
마마1580,신녕119안전센터,5920,14.85
마마1581,신녕119안전센터,4052,9.116666666666667
마마1582,신녕119안전센터,1714,5.766666666666667
마마1583,신녕119안전센터,602,1.6
마마1584,신녕119안전센터,1053,3.7
마마1585,신녕119안전센터,25566,24.0
마마1586,신녕119안전센터,4958,12.966666666666667
마마1676,청통면119지역대,1600,2.4
마마1677,청통면119지역대,1090,3.4
마마1678,청통면119지역대,982,2.2666666666666666
마마1679,청통면119지역대,2450,8.583333333333334
마마1680,청통면119지역대,5636,11.966666666666667
마마1681,신녕119안전센터,3460,9.566666666666666
마마1682,신녕119안전센터,2581,6.033333333333333
마마1683,신녕119안전센터,1705,3.8833333333333333
마마1684,신녕119안전센터,6207,7.983333333333333
마마1685,신녕119안전센터,2955,5.45
마마1686,신녕119안전센터,3929,9.1
마마1776,청통면119지역대,6897,14.016666666666667
마마1777,청통면119지역대,778,1.25
마마1778,청통면119지역대,1026,3.283333333333333
마마1779,청통면119지역대,2258,7.883333333333334
마마1780,신녕119안전센터,4746,8.183333333333334
마마1781,신녕119안전센터,4088,7.833333333333333
마마1782,신녕119안전센터,4137,8.016666666666667
마마1783,신녕119안전센터,3879,8.6
마마1784,신녕119안전센터,2813,5.216666666666667
마마1786,신녕119안전센터,4054,9.566666666666666
마마1875,청통면119지역대,7292,14.183333333333334
마마1876,청통면119지역대,6087,11.233333333333333
마마1877,청통면119지역대,4647,10.183333333333334
마마1878,청통면119지역대,1784,3.85
마마1879,청통면119지역대,3267,5.333333333333333
마마1880,청통면119지역대,4691,10.133333333333333
마마1881,신녕119안전센터,4824,9.05
마마1882,신녕119안전센터,5454,10.3
마마1884,신녕119안전센터,3966,7.666666666666667
마마1885,신녕119안전센터,4695,10.9
마마1974,청통면119지역대,5994,10.383333333333333
마마1975,청통면119지역대,5681,12.2
마마1976,청통면119지역대,4720,9.3
