grid_id,1st_bus_stop,1st_stop_id,1st_dist_m,2nd_bus_stop,2nd_stop_id,2nd_dist_m,3rd_bus_stop,3rd_stop_id,3rd_dist_m,tmap_success,walk_time_min,walk_dist_m
마마2264, 사리2리종점,570698.0,471.4, 사리2리(대창방면),570699.0,1095.4, 사리2리(사리방면),570697.0,1111.8,N_PathError,,
마마2462, 구지리,570714.0,867.6, 장곡리(사리방면),570705.0,892.1, 장곡리마을회관,570704.0,1196.5,N_PathError,,
마마2463, 장곡리(사리방면),570705.0,131.9, 장곡리마을회관,570704.0,286.3, 장곡리(장곡방면),570703.0,732.0,N_PathError,,
마마2364, 사리2리종점,570698.0,545.4, 장곡마을입구(장곡방면),570701.0,606.7, 장곡마을입구(사리방면),570707.0,630.9,N_PathError,,
마마2464, 장곡공장(사리방면),570706.0,68.4, 장곡공장(장곡방면),570702.0,68.4, 장곡리(장곡방면),570703.0,260.3,N_PathError,,
마마2465, 사리1리마을회관,570693.0,528.1, 사리2리(사리방면),570697.0,568.4, 사리2리(대창방면),570699.0,586.5,N_PathError,,
마마2365, 사리2리종점,570698.0,375.3, 사리2리(대창방면),570699.0,543.4, 사리2리(사리방면),570697.0,546.8,N_PathError,,
마마2265, 사리2리종점,570698.0,500.2, 사리2리(대창방면),570699.0,1119.4, 사리2리(사리방면),570697.0,1129.8,N_PathError,,
마마2267, 남성마을,570758.0,1283.4, 신대삼거리(신대방면),570753.0,1311.5, 신대삼거리(금호방면),570767.0,1328.3,N_PathError,,
마마2466, 포척(금호방면),570720.0,898.2, 포척(대창방면),570605.0,898.2, 사리1리마을회관,570693.0,1034.3,N_PathError,,
마마2366, 사리2리(사리방면),570697.0,1110.0, 사리2리(대창방면),570699.0,1123.3, 사리2리종점,570698.0,1264.6,N_PathError,,
마마2467, 강회(대창방면),570603.0,861.1, 남성마을,570758.0,908.6, 강회(금호방면),570722.0,926.9,N_PathError,,
마마2367, 남성마을,570758.0,715.6, 남성배밭(남성방면),570757.0,1166.8, 남성배밭(금호방면),570759.0,1166.8,N_PathError,,
마마2368, 남성마을,570758.0,526.6, 신대마을회관,570754.0,555.8, 신대마을회관건너,570766.0,575.3,N_PathError,,
마마2468, 원기(대창방면),571684.0,104.6, 최무선과학관(후문)건너,570756.0,284.4, 최무선과학관(후문),570760.0,312.5,N_PathError,,
마마2369, 신대고개(금호방면),570769.0,158.5, 신대고개(신대방면),570751.0,283.6, 신대사거리(금호방면),570768.0,293.3,N_PathError,,
마마2469, 휘정사입구,570597.0,469.2, 휘정사입구건너,570730.0,501.0, 남성입구사거리(신대방면),570765.0,560.4,N_PathError,,
마마2470, 어은동입구(금호방면),570745.0,246.6, 금호농협경제센터건너,570746.0,275.0, 금호농협경제센터,570595.0,312.7,N_PathError,,
마마2370, 삼호사거리(신대방면),570749.0,119.8, 삼호사거리(금호방면),570771.0,142.6, 삼호2리(신대방면),570750.0,323.5,N_PathError,,
마마2268, 신대삼거리(신대방면),570753.0,816.2, 신대삼거리(금호방면),570767.0,825.0, 신대사거리(신대방면),570752.0,877.5,N_PathError,,
마마2269, 신대고개(신대방면),570751.0,571.8, 신대사거리(신대방면),570752.0,594.9, 신대삼거리(금호방면),570767.0,714.8,N_PathError,,
마마2270, 덕성리동일금속,570113.0,795.2, 삼호사거리(신대방면),570749.0,946.7, 삼호사거리(금호방면),570771.0,981.2,N_PathError,,
마마2271, 덕성리동일금속,570113.0,458.2, 금호역,570112.0,582.0, 금호터미널건너,570111.0,616.1,Y,4.5,340
마마2471, 냉천2리회관.금호초등건너,570118.0,159.1, 금호읍사무소건너,570117.0,192.5, 진보맨션건너,571274.0,194.1,N_PathError,,
마마2371, 금호터미널,570115.0,176.3, 금호우방타운아파트 건너(청통방면),571486.0,225.9, 금호 콜마트,571485.0,253.0,N_PathError,,
마마2472, 포은고등학교,571710.0,251.1, 포은고등학교,571709.0,319.6, 대미2리(상암방면),571224.0,550.0,N_PathError,,
