grid_id,1st_bus_stop,1st_stop_id,1st_dist_m,2nd_bus_stop,2nd_stop_id,2nd_dist_m,3rd_bus_stop,3rd_stop_id,3rd_dist_m,1st_success,1st_time,1st_walk_dist,2nd_success,2nd_time,2nd_walk_dist,3rd_success,3rd_time,3rd_walk_dist,success_count,final_min_dist_m,final_min_time_min,selected_target
마마2271, 덕성리동일금속,570113.0,458.2, 금호역,570112.0,582.0, 금호터미널건너,570111.0,616.1,Y,12.7,981.0,Y,4.5,340.0,Y,4.45,340.0,3,340.0,4.5,2순위
마마2272, 대평리.장구마을(금호방면),571203.0,367.2, 대평리.장구마을(청통방면),571228.0,378.0, 사일못밑(상암방면),571227.0,416.8,Y,7.9,610.0,Y,7.9,611.0,Y,6.816666666666666,524.0,3,524.0,6.816666666666666,3순위
마마2273, 전륜사,571230.0,195.6, 전륜사건너,571201.0,208.9, 풍락저수지밑,571202.0,559.2,Y,2.2,176.0,Y,2.5,195.0,Y,6.933333333333334,541.0,3,176.0,2.2,1순위
마마2374, 대평모텔건너,571690.0,510.1, 대평모텔,571231.0,510.1, 신덕2리.대평(금호방면),571199.0,785.8,Y,3.5,276.0,Y,3.5,276.0,Y,8.2,640.0,3,276.0,3.5,1순위
마마2375, 신덕2리.대평(청통방면),571232.0,570.9, 신덕2리.대평(금호방면),571199.0,595.8, 신덕1리(청통방면),571238.0,597.4,Y,3.6,285.0,Y,4.2,324.0,Y,4.383333333333334,342.0,3,285.0,3.6,1순위
마마2476, 서산동종점,571564.0,387.4, 서산동(서산방면),571563.0,466.0, 서산동(영천방면),571565.0,466.0,Y,5.0,390.0,Y,7.2,554.0,Y,7.166666666666667,554.0,3,390.0,5.0,1순위
마마3866, 효리입구(영천방면),571407.0,291.2, 효리초입(효리방면),571401.0,475.8, 효리경로당건너,571402.0,627.1,Y,3.6,259.0,Y,3.6,259.0,Y,3.566666666666667,259.0,3,259.0,3.6,1순위
마마4670, 황수탕,570387.0,824.1, 덕정리(황수탕방면),570386.0,1829.7, 덕정리(호국원방면),570388.0,1893.8,Y,14.7,1128.0,Y,28.2,2175.0,Y,29.066666666666663,2242.0,3,1128.0,14.7,1순위
마마4570, 황수탕,570387.0,695.5, 덕정리(황수탕방면),570386.0,1662.2, 덕정리(호국원방면),570388.0,1714.5,Y,69.8,5379.0,Y,56.2,4331.0,Y,55.38333333333333,4265.0,3,4265.0,55.38333333333333,3순위
마마4571, 황수탕,570387.0,304.0, 덕정리(황수탕방면),570386.0,727.3, 덕정리(호국원방면),570388.0,790.5,Y,4.3,333.0,Y,9.2,714.0,Y,10.083333333333334,781.0,3,333.0,4.3,1순위
마마3267, 용수골,571755.0,737.2, 용수골,570628.0,737.2, 경북하이브리드부품연구원입구,571322.0,967.3,Y,5.6,429.0,Y,5.6,429.0,Y,16.783333333333335,1301.0,3,429.0,5.6,1순위
마마3068, 채신공단종점,571536.0,397.0, ㈜BM,571535.0,514.8, 대상㈜,571537.0,520.3,Y,4.1,324.0,Y,9.8,754.0,Y,4.783333333333333,376.0,3,324.0,4.1,1순위
마마3069, 한중본사제1공장건너,571534.0,169.0, 신우유통사거리,571533.0,323.6, ㈜BM,571535.0,513.5,Y,5.0,414.0,Y,6.7,480.0,Y,8.5,671.0,3,414.0,5.0,1순위
마마3167, 용수골,571755.0,386.8, 용수골,570628.0,386.8, 경북하이브리드부품연구원입구,571322.0,645.4,Y,3.8,297.0,Y,3.8,297.0,Y,8.083333333333334,630.0,3,297.0,3.8,1순위
마마3168, 채신공단,571538.0,173.1, 괴연동.우사(괴연방면),571642.0,274.8, 괴연동(괴연방면),571320.0,305.0,Y,8.0,618.0,Y,6.8,528.0,Y,4.266666666666667,329.0,3,329.0,4.266666666666667,3순위
마마3268, 괴연동.우사(괴연방면),571642.0,783.5, 괴연동(영천방면),571323.0,785.2, 괴연동(괴연방면),571320.0,790.9,Y,10.7,824.0,Y,7.3,565.0,Y,7.066666666666666,543.0,3,543.0,7.066666666666666,3순위
마마3169, 채신2공단입구,571318.0,84.5, 채신2공단입구건너,571326.0,169.2, 채신1공단입구,571317.0,217.2,Y,1.6,90.0,Y,3.3,235.0,Y,3.316666666666667,226.0,3,90.0,1.6,1순위
마마3170, 본촌동마을회관,571315.0,326.8, 본촌공단입구건너,571328.0,367.5, 본촌입구(괴연방면),571314.0,491.0,Y,20.7,1637.0,Y,20.7,1673.0,Y,15.35,1176.0,3,1176.0,15.35,3순위
마마3070, 본촌입구(괴연방면),571314.0,664.1, 본촌동마을회관건너,571329.0,670.2, 본촌공단입구,571316.0,678.0,Y,29.2,2377.0,Y,30.5,2492.0,Y,33.45,2743.0,3,2377.0,29.2,1순위
마마2971, 도남공단입구건너,710700.0,41.6, 도남공단입구,710699.0,41.6, 도남동(구암방면),571286.0,388.2,Y,0.1,6.0,Y,0.1,6.0,Y,4.966666666666667,388.0,3,6.0,0.1,1순위
마마3071, 봉동.가와인아파트건너,571332.0,207.4, 봉동.가와인아파트앞,571312.0,207.4, 봉동기사식당,571313.0,321.6,Y,3.6,218.0,Y,3.6,218.0,Y,3.816666666666667,320.0,3,218.0,3.6,1순위
마마3072, 우시장(진각사입구.영천희망원),571470.0,124.6, 영천가축시장,571336.0,185.4, 영천IC입구(작산방면),571334.0,196.0,Y,1.3,99.0,Y,2.5,196.0,Y,3.65,296.0,3,99.0,1.3,1순위
마마2872, 도동삼거리앞,570092.0,452.5, 성남여중고앞,570093.0,487.8, 도동삼거리,571474.0,563.9,Y,6.9,535.0,Y,7.5,578.0,Y,10.8,733.0,3,535.0,6.9,1순위
