격자코드,경도,위도,총인구수,최종_선정_의료기관,최종_이동시간_분,최종_주행거리_km,API_검증상태
마마3261,128.9671485,35.84107484,5,명주보건진료소,29.57,19.08,완료 (시간순 역전: 후보2 선정)
마마1989,128.827457,36.09512595,8,화남보건지소,28.88,10.94,완료 (시간순 역전: 후보3 선정)
마마3161,128.9560789,35.8412095,8,명주보건진료소,27.48,18.45,완료 (시간순 역전: 후보2 선정)
마마2089,128.8385628,36.09500239,13,화남보건지소,26.25,10.24,완료 (시간순 역전: 후보2 선정)
마마3160,128.9559142,35.83219623,8,명주보건진료소,25.88,17.58,완료 (시간순 역전: 후보2 선정)
마마1277,128.7480069,35.98779727,8,청통보건지소,24.33,15.73,완료 (유클리드 1위 일치)
마마3260,128.9669826,35.83206162,28,명주보건진료소,23.99,14.48,복구완료 (시간이상치 -> 주변평균 대체)
마마3360,128.9780508,35.83192598,8,명주보건진료소,23.98,12.72,완료 (시간순 역전: 후보2 선정)
마마1489,128.7719275,36.09572832,33,신령의원,23.72,17.04,완료 (시간순 역전: 후보3 선정)
마마2088,128.8384099,36.08598905,5,화남보건지소,22.67,9.28,완료 (시간순 역전: 후보2 선정)
마마1379,128.7593845,36.0057089,5,현대연합의원,21.3,12.83,완료 (유클리드 1위 일치)
마마1476,128.7700444,35.9785507,103,청통보건지소,21.27,13.29,완료 (유클리드 1위 일치)
마마3368,128.9793907,35.90403103,28,북안보건지소,20.42,8.41,완료 (시간순 역전: 후보2 선정)
마마1579,128.7815714,36.00547387,8,현대연합의원,20.3,10.09,완료 (유클리드 1위 일치)
마마4670,129.12377,35.92019506,5,파계보건진료소,20.03,11.77,완료 (유클리드 1위 일치)
마마3288,128.9716578,36.08442657,5,평천보건진료소,19.97,7.1,완료 (시간순 역전: 후보2 선정)
마마3874,129.0358268,35.95741256,38,고경보건지소,19.75,14.21,완료 (시간순 역전: 후보2 선정)
마마3460,128.989119,35.83178933,5,명주보건진료소,19.33,11.62,완료 (유클리드 1위 일치)
마마1987,128.827154,36.07709917,5,신녕보건지소,19.15,9.36,완료 (유클리드 1위 일치)
마마2475,128.8807805,35.96831211,13,우천보건진료소,18.85,9.9,완료 (유클리드 1위 일치)
마마2886,128.9269172,36.0669378,18,화남보건지소,18.78,6.92,완료 (시간순 역전: 후보2 선정)
마마4585,129.1154444,36.05553005,63,사리보건진료소,18.51,16.26,복구완료 (시간이상치 -> 주변평균 대체)
마마4390,129.0941563,36.10088883,13,보현보건진료소,18.37,8.78,완료 (유클리드 1위 일치)
마마3369,128.9795585,35.9130441,28,북안보건지소,18.35,7.86,완료 (유클리드 1위 일치)
마마1390,128.7609654,36.10485932,5,신령의원,18.33,14.33,완료 (시간순 역전: 후보3 선정)
마마2295,128.8617077,36.14883143,5,안천보건진료소,18.22,9.61,복구완료 (인접도로 매핑 / 시간역전: 후보3)
마마4387,129.0936103,36.07385189,23,자양보건지소,18.12,10.73,완료 (시간순 역전: 후보3 선정)
마마2087,128.8382571,36.07697569,33,화남보건지소,17.73,7.96,완료 (유클리드 1위 일치)
마마3269,128.968479,35.91318014,38,북안보건지소,16.87,7.46,완료 (유클리드 1위 일치)
마마2393,128.8725068,36.13067825,5,안천보건진료소,16.8,8.74,완료 (시간순 역전: 후보3 선정)
마마4276,129.0805272,35.97486192,13,고경보건지소,16.78,6.12,완료 (시간순 역전: 후보2 선정)
마마1087,128.7272224,36.07816423,5,부산보건진료소,16.77,8.65,완료 (유클리드 1위 일치)
마마2493,128.8836173,36.13055041,38,안천보건진료소,16.72,9.21,완료 (시간순 역전: 후보3 선정)
마마3970,129.0462097,35.92121919,28,북안보건지소,16.72,6.61,완료 (시간순 역전: 후보2 선정)
마마3873,129.0356523,35.94839979,8,육군3사관학교의원,16.58,10.21,복구완료 (인접도로 매핑 / 시간역전: 후보3)
마마1282,128.7487176,36.03286619,5,신령의원,16.42,5.47,완료 (시간순 역전: 후보3 선정)
마마4570,129.1126902,35.92034443,5,파계보건진료소,16.08,7.61,완료 (유클리드 1위 일치)
마마3273,128.969146,35.94923245,108,다산한의원,15.93,6.9,완료 (유클리드 1위 일치)
마마3287,128.9714898,36.07541373,33,평천보건진료소,15.92,6.02,완료 (유클리드 1위 일치)
마마2282,128.8596878,36.03165907,23,화남보건지소,15.8,7.08,완료 (시간순 역전: 후보3 선정)
마마3090,128.9497816,36.10272308,8,화북보건지소,15.52,8.35,완료 (유클리드 1위 일치)
마마4485,129.1043456,36.05567914,58,사리보건진료소,15.48,13.36,복구완료 (시간이상치 -> 주변평균 대체)
마마4172,129.0687263,35.93895702,5,파계보건진료소,15.47,8.78,완료 (유클리드 1위 일치)
마마3367,128.979223,35.89501795,5,북안보건지소,15.37,8.68,복구완료 (시간이상치 -> 주변평균 대체)
마마2575,128.8918682,35.96818399,5,한의마을한의원,15.28,5.69,복구완료 (인접도로 매핑 / 시간역전: 후보3)
마마4086,129.0601276,36.06527769,13,자양보건지소,15.23,10.32,완료 (시간순 역전: 후보2 선정)
마마3775,129.0249147,35.96656674,8,육군3사관학교의원,15.05,8.79,완료 (유클리드 1위 일치)
마마2885,128.9267545,36.05792475,8,화남보건지소,15,5.9,완료 (유클리드 1위 일치)
마마2365,128.8681391,35.87830441,134,대창보건지소,15,8.31,완료 (유클리드 1위 일치)
마마2476,128.8809375,35.97732547,58,의료법인송학의료재단 효사랑요양병원,14.88,7.41,완료 (시간순 역전: 후보2 선정)
마마1089,128.7275027,36.0961917,53,부산보건진료소,14.85,7.81,완료 (유클리드 1위 일치)
마마2682,128.9040739,36.03114748,8,암기보건진료소,14.85,18.87,완료 (시간순 역전: 후보2 선정)
마마4685,129.1265431,36.05537995,58,사리보건진료소,14.81,12.35,복구완료 (시간이상치 -> 주변평균 대체)
마마3268,128.9683124,35.90416703,18,북안보건지소,14.7,11.46,완료 (유클리드 1위 일치)
마마2985,128.9378545,36.0577921,13,평천보건진료소,14.67,6.62,완료 (시간순 역전: 후보2 선정)
마마4286,129.0823283,36.06498662,23,자양보건지소,14.28,9.41,완료 (시간순 역전: 후보3 선정)
마마3774,129.0247414,35.95755394,48,육군3사관학교치과의원,14.25,8.6,완료 (시간순 역전: 후보2 선정)
마마2593,128.8947277,36.13042153,5,화북보건지소,14.18,4.21,완료 (시간순 역전: 후보2 선정)
마마2267,128.8573715,35.89645722,1744,경북연합의원,14.17,9.96,완료 (시간순 역전: 후보3 선정)
마마2367,128.8684493,35.89633148,8,경북연합의원,13.93,5.91,완료 (시간순 역전: 후보3 선정)
마마4773,129.1354066,35.94708176,8,파계보건진료소,13.85,10.81,완료 (유클리드 1위 일치)
마마3061,128.9450093,35.84134315,18,운천보건진료소,13.77,6.59,완료 (유클리드 1위 일치)
