grid_id,1st_bus_stop,1st_stop_id,1st_dist_m,2nd_bus_stop,2nd_stop_id,2nd_dist_m,3rd_bus_stop,3rd_stop_id,3rd_dist_m,1st_success,1st_time,1st_walk_dist,2nd_success,2nd_time,2nd_walk_dist,3rd_success,3rd_time,3rd_walk_dist,success_count
마마2264, 사리2리종점,570698.0,471.4, 사리2리(대창방면),570699.0,1095.4, 사리2리(사리방면),570697.0,1111.8,Y,0.9,71.0,N_PathError,,,N,,,1
마마2364, 사리2리종점,570698.0,545.4, 장곡마을입구(장곡방면),570701.0,606.7, 장곡마을입구(사리방면),570707.0,630.9,Y,29.7,2278.0,N_PathError,,,N,,,1
마마2365, 사리2리종점,570698.0,375.3, 사리2리(대창방면),570699.0,543.4, 사리2리(사리방면),570697.0,546.8,Y,25.7,1982.0,N_PathError,,,N,,,1
마마2265, 사리2리종점,570698.0,500.2, 사리2리(대창방면),570699.0,1119.4, 사리2리(사리방면),570697.0,1129.8,Y,15.0,1157.0,N_PathError,,,N,,,1
마마2366, 사리2리(사리방면),570697.0,1110.0, 사리2리(대창방면),570699.0,1123.3, 사리2리종점,570698.0,1264.6,N_PathError,,,N_PathError,,,Y,36.5,2814.0,1
마마2270, 덕성리동일금속,570113.0,795.2, 삼호사거리(신대방면),570749.0,946.7, 삼호사거리(금호방면),570771.0,981.2,Y,15.2,1175.0,N_PathError,,,N,,,1
마마2074, 한티재,710673.0,499.2, 한티재,710674.0,513.4, 청통IC,710671.0,1065.6,N_PathError,,,N_PathError,,,Y,13.4,1037.0,1
마마2275, 대평리(신덕방면),571234.0,49.3, 대평리(금호방면),571236.0,96.4, 교수마을입구(금호방면),571237.0,450.5,N_PathError,,,Y,0.1,8.0,Y,5.55,432.0,2
마마2475, 대동마을회관,571214.0,804.0, 서산동종점,571564.0,1129.2, 대미입구(영천방면),571215.0,1139.9,N_PathError,,,Y,17.6,1359.0,N,,,1
마마2376, 경안프랜트,571196.0,538.8, 경안프랜트건너,571240.0,774.7, 신덕1리(청통방면),571238.0,916.9,N_PathError,,,N_PathError,,,Y,12.566666666666666,969.0,1
마마1975, 덕산(천일주유소건너),571177.0,372.2, 송천리.송천공단(청통방면),571179.0,387.9, 송천리.송천공단(송천방면),571178.0,398.1,N_PathError,,,Y,36.7,2764.0,Y,47.93333333333333,3624.0,2
마마3864, 효리(영천방면),571405.0,1061.5, 효리종점,571404.0,1117.3, 효리경로당건너,571402.0,1139.8,N_PathError,,,N_PathError,,,Y,46.45,3541.0,1
마마3865, 효리경로당건너,571402.0,623.4, 효리경로당앞,571406.0,640.8, 효리(효리방면),571403.0,723.7,Y,10.6,769.0,Y,10.6,769.0,N,,,2
마마4671, 황수탕,570387.0,800.8, 논실종점,571521.0,1266.6, 논실교회(영천방면),571522.0,1399.0,Y,9.0,689.0,N_PathError,,,N,,,1
마마3166, 용수골,571755.0,817.9, 용수골,570628.0,817.9, 용전마을회관,571487.0,1555.7,Y,11.6,897.0,Y,11.6,897.0,N,,,2
마마2970, 영천도축장 입구건너,571308.0,527.1, 영천도축장 입구,571287.0,535.5, 구암2리(영천방면),571307.0,990.0,Y,14.9,1152.0,Y,14.9,1151.0,N,,,2
마마2871, 도동교(금호방면),571265.0,422.1, 도동교(도동방면),571284.0,435.2, 화랑설화마을 건너,571754.0,623.5,Y,5.6,433.0,Y,5.7,440.0,N,,,2
마마3273, 범어동,571339.0,260.5, 송포교(영천방면),571674.0,825.4, 송포교(송포방면),571673.0,825.4,Y,7.3,570.0,N_PathError,,,N,,,1
마마3768, 만불사건너,571422.0,428.9, 만불사입구,571433.0,447.5, 고지2리(북안방면),571434.0,509.9,Y,12.8,986.0,Y,13.0,1008.0,N,,,2
마마3868, 만불사입구,571433.0,412.2, 만불사건너,571422.0,417.3, 고지2리(북안방면),571434.0,931.7,Y,28.4,2103.0,Y,28.2,2081.0,N,,,2
마마4780, 오룡2리마을회관앞,570296.0,663.2, 오룡2리마을회관건너,570294.0,665.3, 오룡2리(누에치는마을),570295.0,805.4,Y,1.4,113.0,Y,1.4,113.0,N,,,2
마마3179, 신기동 마을회관,571578.0,649.6, 매호2리.맘실(영천방면),570534.0,973.8, 매호2리.맘실(임고방면),570309.0,1004.9,Y,8.1,629.0,N_PathError,,,N,,,1
마마2783, 대천리(노방방면),571601.0,196.7, 사천교회,570579.0,304.2, 노방.우사앞(대천방면),570969.0,311.8,Y,3.0,235.0,Y,4.8,366.0,N,,,2
마마2882, 매산1동(영천방면),570582.0,341.3, 신호삼거리(화남방면),570562.0,474.0, 신호삼거리(영천방면),570581.0,488.9,Y,4.5,351.0,N_PathError,,,N,,,1
마마4390, 중도일,570424.0,1013.8, 도일리마을회관앞,570426.0,1400.3, 도일리(도일방면),570421.0,1598.8,N_PathError,,,Y,172.5,13321.0,Y,172.48333333333332,13321.0,2
마마4292, 도일리마을회관앞,570426.0,703.8, 중도일,570424.0,783.1, 도일리(도일방면),570421.0,788.7,Y,8.2,639.0,N_PathError,,,Y,8.183333333333334,639.0,2
