grid_id,target_bus_stop,target_stop_id,euclid_dist_m,final_walk_dist_m,calc_method,elderly_walk_time_min
마마2271, 금호역,570112.0,582.0,1179.7,Detour_Model_2.027_(물리적오류보정),28.1
마마2272, 사일못밑(상암방면),571227.0,416.8,524.0,Tmap_API_Min,12.5
마마2273, 전륜사,571230.0,195.6,396.5,Detour_Model_2.027_(물리적오류보정),9.4
마마2374, 대평모텔건너,571690.0,510.1,1034.0,Detour_Model_2.027_(물리적오류보정),24.6
마마2375, 신덕2리.대평(청통방면),571232.0,570.9,1157.2,Detour_Model_2.027_(물리적오류보정),27.6
마마2476, 서산동종점,571564.0,387.4,390.0,Tmap_API_Min,9.3
마마3866, 효리입구(영천방면),571407.0,291.2,590.3,Detour_Model_2.027_(물리적오류보정),14.1
마마4670, 황수탕,570387.0,824.1,1128.0,Tmap_API_Min,26.9
마마4570, 덕정리(호국원방면),570388.0,1714.5,4265.0,Tmap_API_Min,101.5
마마4571, 황수탕,570387.0,304.0,333.0,Tmap_API_Min,7.9
마마3267, 용수골,571755.0,737.2,1494.3,Detour_Model_2.027_(물리적오류보정),35.6
마마3068, 채신공단종점,571536.0,397.0,804.7,Detour_Model_2.027_(물리적오류보정),19.2
마마3069, 한중본사제1공장건너,571534.0,169.0,414.0,Tmap_API_Min,9.9
마마3167, 용수골,571755.0,386.8,784.0,Detour_Model_2.027_(물리적오류보정),18.7
마마3168, 괴연동(괴연방면),571320.0,305.0,329.0,Tmap_API_Min,7.8
마마3268, 괴연동(괴연방면),571320.0,790.9,1603.2,Detour_Model_2.027_(물리적오류보정),38.2
마마3169, 채신2공단입구,571318.0,84.5,90.0,Tmap_API_Min,2.1
마마3170, 본촌입구(괴연방면),571314.0,491.0,1176.0,Tmap_API_Min,28.0
마마3070, 본촌입구(괴연방면),571314.0,664.1,549.3,Spatial_Interpolation (3배수_주변평균),13.1
마마2971, 도남공단입구건너,710700.0,41.6,84.3,Detour_Model_2.027_(물리적오류보정),2.0
마마3071, 봉동.가와인아파트건너,571332.0,207.4,218.0,Tmap_API_Min,5.2
마마3072, 우시장(진각사입구.영천희망원),571470.0,124.6,252.6,Detour_Model_2.027_(물리적오류보정),6.0
마마2872, 도동삼거리앞,570092.0,452.5,535.0,Tmap_API_Min,12.7
마마2972, 남부동주민센터,571472.0,173.3,189.0,Tmap_API_Min,4.5
마마2873, 주남네거리(sk주유소건너),570094.0,676.1,1378.0,Tmap_API_Min,32.8
마마3172, 남부초등학교,571467.0,99.7,202.1,Detour_Model_2.027_(물리적오류보정),4.8
마마3173, 범어동마을회관앞,571340.0,634.9,689.0,Tmap_API_Min,16.4
마마2773, 영천경찰서,570104.0,641.9,743.8,Spatial_Interpolation (3배수_주변평균),17.7
마마2774, 영대병원,570125.0,124.8,253.0,Detour_Model_2.027_(물리적오류보정),6.0
마마2973, 한전영천지사앞,570089.0,613.0,767.0,Tmap_API_Min,18.3
마마3073, 쇠느리건너,571482.0,583.3,1033.0,Tmap_API_Min,24.6
마마3074, 봉정사 앞,571579.0,198.7,239.0,Tmap_API_Min,5.7
마마2874, 영천버스터미널건너,570078.0,309.7,815.0,Tmap_API_Min,19.4
마마2974, 영천상공회의소,570130.0,239.7,336.0,Tmap_API_Min,8.0
마마3075, 미소지움2차,571716.0,130.2,157.0,Tmap_API_Min,3.7
마마2875, 영천시민운동장주차장,570081.0,169.1,255.0,Tmap_API_Min,6.1
마마2975, 영동교(시청방향),570008.0,284.6,493.0,Tmap_API_Min,11.7
마마2876, 한의마을,570592.0,300.4,313.0,Tmap_API_Min,7.5
마마2976, 시청뒷편,570053.0,371.3,752.6,Detour_Model_2.027_(물리적오류보정),17.9
마마4471, 덕정리(호국원방면),570388.0,243.3,493.2,Detour_Model_2.027_(물리적오류보정),11.7
마마4472, 덕정사주카페(호국원방면),570391.0,486.1,985.3,Detour_Model_2.027_(물리적오류보정),23.5
마마3274, 금강사,571720.0,684.7,1387.9,Detour_Model_2.027_(물리적오류보정),33.0
마마3174, 완산2동경로당,571717.0,503.9,1021.4,Detour_Model_2.027_(물리적오류보정),24.3
마마3275, 쓰레기매립장입구,571721.0,456.6,925.5,Detour_Model_2.027_(물리적오류보정),22.0
마마3175, 장천삼거리,571725.0,117.6,297.0,Tmap_API_Min,7.1
마마3076, 망정네거리,570058.0,106.6,216.1,Detour_Model_2.027_(물리적오류보정),5.1
마마3176, 영천소방서건너,570016.0,130.7,264.9,Detour_Model_2.027_(물리적오류보정),6.3
마마3276, 조교삼거리(고경방면),570132.0,548.5,1111.8,Detour_Model_2.027_(물리적오류보정),26.5
마마3277, 언하1동,571532.0,170.5,379.0,Tmap_API_Min,9.0
마마3177, 갑을공단(화신건너),570067.0,102.8,208.4,Detour_Model_2.027_(물리적오류보정),5.0
마마3077, 전경부대앞,570022.0,372.5,379.0,Tmap_API_Min,9.0
마마2674, 쌍계동,571480.0,659.9,830.0,Tmap_API_Min,19.8
마마2675, 쌍계동,571480.0,891.2,1806.5,Detour_Model_2.027_(물리적오류보정),43.0
마마2775, 북영천역,571261.0,364.1,551.0,Tmap_API_Min,13.1
마마2576, 도향사건너,571566.0,441.1,792.0,Tmap_API_Min,18.9
마마2776, 영남실버입구,571708.0,171.1,214.0,Tmap_API_Min,5.1
마마2676, 대전입구건너,571250.0,541.4,726.0,Tmap_API_Min,17.3
마마2577, 태양고물상건너,571248.0,626.7,1270.3,Detour_Model_2.027_(물리적오류보정),30.2
마마2677, 태양고물상건너,571248.0,381.3,399.0,Tmap_API_Min,9.5
마마2777, 대전1동마을회관건너,571253.0,136.5,276.7,Detour_Model_2.027_(물리적오류보정),6.6
마마2977, 야사신주공아파트앞,570028.0,1113.3,1728.0,Tmap_API_Min,41.1
마마2877, 오미(영천방면),570591.0,333.9,351.0,Tmap_API_Min,8.4
마마2978, 녹전.영천영어타운건너,570541.0,1129.1,1344.0,Tmap_API_Min,32.0
마마2878, 녹전.영천영어타운건너,570541.0,260.9,399.0,Tmap_API_Min,9.5
마마2979, 도림(영천방면),570586.0,986.1,928.6,Spatial_Interpolation (3배수_주변평균),22.1
마마2879, 도림(영천방면),570586.0,117.4,238.0,Detour_Model_2.027_(물리적오류보정),5.7
마마2980, 도림1동회관,570971.0,234.3,474.9,Detour_Model_2.027_(물리적오류보정),11.3
마마2880, 하명마을입구,570585.0,264.6,536.3,Detour_Model_2.027_(물리적오류보정),12.8
마마2981, 도림1동(숯골),570972.0,394.9,800.5,Detour_Model_2.027_(물리적오류보정),19.1
마마2881, 매산1동(화남방면),570547.0,408.8,418.0,Tmap_API_Min,10.0
마마3178, 신기동 마을회관,571578.0,378.3,403.0,Tmap_API_Min,9.6
마마3078, 임시58(언하방면),571528.0,876.0,1294.0,Tmap_API_Min,30.8
마마3079, 신기동 마을회관,571578.0,1092.2,2213.9,Detour_Model_2.027_(물리적오류보정),52.7
마마3080, 도림동,570970.0,1500.8,1468.0,Spatial_Interpolation (3배수_주변평균),35.0
마마2778, 상대전(화남방면),571254.0,583.0,597.0,Tmap_API_Min,14.2
마마2779, 녹전2동,570943.0,155.8,191.0,Tmap_API_Min,4.5
마마2780, 녹동3동(영천방면),570952.0,417.5,846.3,Detour_Model_2.027_(물리적오류보정),20.2
마마2781, 매산2동,570950.0,527.1,1068.4,Detour_Model_2.027_(물리적오류보정),25.4
마마2782, 매산1동(영천방면),570582.0,675.8,1328.0,Tmap_API_Min,31.6
마마2264, 사리2리종점,570698.0,471.4,955.5,Detour_Model_2.027,22.8
마마2462, 구지리,570714.0,867.6,1758.6,Detour_Model_2.027,41.9
마마2463, 장곡리(사리방면),570705.0,131.9,267.4,Detour_Model_2.027,6.4
마마2364, 사리2리종점,570698.0,545.4,1105.5,Detour_Model_2.027,26.3
마마2464, 장곡공장(사리방면),570706.0,68.4,138.6,Detour_Model_2.027,3.3
마마2465, 사리1리마을회관,570693.0,528.1,1070.5,Detour_Model_2.027,25.5
마마2365, 사리2리종점,570698.0,375.3,760.7,Detour_Model_2.027,18.1
마마2265, 사리2리종점,570698.0,500.2,1013.9,Detour_Model_2.027,24.1
마마2267, 남성마을,570758.0,1283.4,2601.5,Detour_Model_2.027,61.9
마마2466, 포척(금호방면),570720.0,898.2,1820.7,Detour_Model_2.027,43.4
마마2366, 사리2리(사리방면),570697.0,1110.0,2250.0,Detour_Model_2.027,53.6
마마2467, 강회(대창방면),570603.0,861.1,1745.4,Detour_Model_2.027,41.6
마마2367, 남성마을,570758.0,715.6,1450.5,Detour_Model_2.027,34.5
마마2368, 남성마을,570758.0,526.6,1067.4,Detour_Model_2.027,25.4
마마2468, 원기(대창방면),571684.0,104.6,212.0,Detour_Model_2.027,5.0
마마2369, 신대고개(금호방면),570769.0,158.5,321.3,Detour_Model_2.027,7.6
마마2469, 휘정사입구,570597.0,469.2,951.1,Detour_Model_2.027,22.6
마마2470, 어은동입구(금호방면),570745.0,246.6,499.9,Detour_Model_2.027,11.9
마마2370, 삼호사거리(신대방면),570749.0,119.8,242.8,Detour_Model_2.027,5.8
마마2268, 신대삼거리(신대방면),570753.0,816.2,1654.4,Detour_Model_2.027,39.4
마마2269, 신대고개(신대방면),570751.0,571.8,1159.0,Detour_Model_2.027,27.6
마마2270, 덕성리동일금속,570113.0,795.2,1611.9,Detour_Model_2.027,38.4
마마2471, 냉천2리회관.금호초등건너,570118.0,159.1,322.5,Detour_Model_2.027,7.7
마마2371, 금호터미널,570115.0,176.3,357.4,Detour_Model_2.027,8.5
마마2472, 포은고등학교,571710.0,251.1,509.0,Detour_Model_2.027,12.1
마마2372, 성천교회건너,571207.0,299.1,606.3,Detour_Model_2.027,14.4
마마2473, 포롱마을건너,571218.0,141.8,287.4,Detour_Model_2.027,6.8
마마2373, 전륜사,571230.0,653.5,1324.6,Detour_Model_2.027,31.5
마마2274, 대평모텔건너,571690.0,599.2,1214.6,Detour_Model_2.027,28.9
마마2474, 대미입구(대동방면),571213.0,170.7,346.0,Detour_Model_2.027,8.2
마마2174, 대장골,710676.0,529.0,1072.3,Detour_Model_2.027,25.5
마마2074, 한티재,710673.0,499.2,1011.9,Detour_Model_2.027,24.1
마마2175, 한티재,710673.0,492.2,997.7,Detour_Model_2.027,23.8
마마2075, 한티재,710674.0,501.0,1015.5,Detour_Model_2.027,24.2
마마1974, 송천리.송천공단(청통방면),571179.0,447.4,906.9,Detour_Model_2.027,21.6
마마1875, 덕산(천일주유소건너),571177.0,526.8,1067.8,Detour_Model_2.027,25.4
마마2275, 대평리(신덕방면),571234.0,49.3,99.9,Detour_Model_2.027,2.4
마마2475, 대동마을회관,571214.0,804.0,1629.7,Detour_Model_2.027,38.8
마마2376, 경안프랜트,571196.0,538.8,1092.1,Detour_Model_2.027,26.0
마마2276, 청통면신덕리(금호방면),571197.0,568.3,1151.9,Detour_Model_2.027,27.4
마마2377, 우천1리마을회관건너,571242.0,365.3,740.5,Detour_Model_2.027,17.6
마마2277, 우천1리(보건진료소),571139.0,285.6,578.9,Detour_Model_2.027,13.8
마마2477, 우천2리.드림산업,571243.0,789.1,1599.5,Detour_Model_2.027,38.1
마마1975, 덕산(천일주유소건너),571177.0,372.2,754.4,Detour_Model_2.027,18.0
마마1776, 은해사(종점),571165.0,1377.1,2791.4,Detour_Model_2.027,66.5
마마1876, 송천리.월성(송천방면),571176.0,810.2,1642.3,Detour_Model_2.027,39.1
마마1777, 은해사(종점),571165.0,591.6,1199.2,Detour_Model_2.027,28.6
마마1877, 청통CC입구,571169.0,822.2,1666.6,Detour_Model_2.027,39.7
마마1878, 청통CC입구건너,571161.0,120.2,243.6,Detour_Model_2.027,5.8
마마1778, 애련길,571764.0,361.6,733.0,Detour_Model_2.027,17.5
마마1879, 계포리.하계(청통방면),571106.0,202.1,409.7,Detour_Model_2.027,9.8
마마1779, 애련동(애련방면),571150.0,427.3,866.1,Detour_Model_2.027,20.6
마마2076, 한티재,710674.0,1186.2,2404.4,Detour_Model_2.027,57.2
마마1976, 송천리.월성(청통방면),571182.0,309.7,627.8,Detour_Model_2.027,14.9
